unique_id,ds,y,LSTM-median,LSTM-lo-90,LSTM-lo-80,LSTM-hi-80,LSTM-hi-90,model_name
serie_1,2024-01-01 00:00:00,23.705523,23.722456,21.888401,22.362148,24.991207,25.426804,LSTM_model
serie_1,2024-01-01 01:00:00,22.84826,22.86793,21.314913,21.592535,24.080727,24.396837,LSTM_model
serie_1,2024-01-01 02:00:00,22.170877,22.197758,20.689222,21.010557,23.265768,23.593498,LSTM_model
serie_1,2024-01-01 03:00:00,21.66218,21.68309,20.252651,20.545006,22.755386,23.011547,LSTM_model
serie_1,2024-01-01 04:00:00,21.270285,21.273563,19.966434,20.263975,22.243986,22.530355,LSTM_model
serie_1,2024-01-01 05:00:00,20.841707,20.820032,19.69482,19.904135,21.816662,22.098776,LSTM_model
serie_1,2024-01-01 06:00:00,20.533924,20.534237,19.272596,19.555336,21.526846,21.805405,LSTM_model
serie_1,2024-01-01 07:00:00,20.360977,20.339333,19.1943,19.415148,21.310007,21.602432,LSTM_model
serie_1,2024-01-01 08:00:00,20.416641,20.392117,19.270906,19.494774,21.408752,21.677221,LSTM_model
serie_1,2024-01-01 09:00:00,20.752117,20.746914,19.581615,19.828701,21.728664,22.01838,LSTM_model
serie_1,2024-01-01 10:00:00,21.546036,21.53249,20.394358,20.659082,22.473097,22.743412,LSTM_model
serie_1,2024-01-01 11:00:00,22.692812,22.673466,21.485611,21.763315,23.594713,23.89372,LSTM_model
serie_1,2024-01-01 12:00:00,24.106932,24.08949,22.787853,23.116215,25.069603,25.434319,LSTM_model
serie_1,2024-01-01 13:00:00,25.509785,25.515156,24.285809,24.512877,26.544317,26.787779,LSTM_model
serie_1,2024-01-01 14:00:00,26.666185,26.62751,25.260452,25.551668,27.754152,28.155308,LSTM_model
serie_1,2024-01-01 15:00:00,27.54068,27.551926,26.07811,26.322067,28.691786,29.090334,LSTM_model
serie_1,2024-01-01 16:00:00,28.058012,28.059713,26.394346,26.749895,29.347765,29.733128,LSTM_model
serie_1,2024-01-01 17:00:00,28.274704,28.334633,26.184107,26.64164,29.788347,30.217684,LSTM_model
serie_1,2024-01-01 18:00:00,28.058132,28.013433,25.84227,26.334805,29.75248,30.249767,LSTM_model
serie_1,2024-01-01 19:00:00,27.480562,27.460114,25.377378,25.806131,29.109123,29.583685,LSTM_model
