unique_id;ds;y
Level;1/6/20 0:00;20.46
Level;1/6/20 1:00;20.61
Level;1/6/20 2:00;20.75
Level;1/6/20 3:00;20.9
Level;1/6/20 4:00;21.02
Level;1/6/20 5:00;21.14
Level;1/6/20 6:00;21.29
Level;1/6/20 7:00;21.43
Level;1/6/20 8:00;21.58
Level;1/6/20 9:00;21.73
Level;1/6/20 10:00;21.88
Level;1/6/20 11:00;21.97
Level;1/6/20 12:00;22.12
Level;1/6/20 13:00;22.27
Level;1/6/20 14:00;22.36
Level;1/6/20 15:00;22.45
Level;1/6/20 16:00;22.54
Level;1/6/20 17:00;22.63
Level;1/6/20 18:00;22.75
Level;1/6/20 19:00;22.87
Level;1/6/20 20:00;22.96
Level;1/6/20 21:00;23.04
Level;1/6/20 22:00;23.13
Level;1/6/20 23:00;23.22
Level;2/6/20 0:00;23.34
Level;2/6/20 1:00;23.43
Level;2/6/20 2:00;23.52
Level;2/6/20 3:00;23.61
Level;2/6/20 4:00;23.7
Level;2/6/20 5:00;23.8
Level;2/6/20 6:00;23.89
Level;2/6/20 7:00;23.98
Level;2/6/20 8:00;24.07
Level;2/6/20 9:00;24.16
Level;2/6/20 10:00;24.22
Level;2/6/20 11:00;24.28
Level;2/6/20 12:00;24.34
Level;2/6/20 13:00;24.4
Level;2/6/20 14:00;24.46
Level;2/6/20 15:00;24.52
Level;2/6/20 16:00;24.61
Level;2/6/20 17:00;24.7
Level;2/6/20 18:00;24.82
Level;2/6/20 19:00;24.91
Level;2/6/20 20:00;24.97
Level;2/6/20 21:00;25.03
Level;2/6/20 22:00;25.09
Level;2/6/20 23:00;25.15
Level;3/6/20 0:00;25.21
Level;3/6/20 1:00;25.27
Level;3/6/20 2:00;25.33
Level;3/6/20 3:00;25.4
Level;3/6/20 4:00;25.46
Level;3/6/20 5:00;25.52
Level;3/6/20 6:00;25.58
Level;3/6/20 7:00;25.64
Level;3/6/20 8:00;25.7
Level;3/6/20 9:00;25.76
Level;3/6/20 10:00;25.82
Level;3/6/20 11:00;25.85
Level;3/6/20 12:00;25.85
Level;3/6/20 13:00;25.88
Level;3/6/20 14:00;25.94
Level;3/6/20 15:00;26.0
Level;3/6/20 16:00;26.06
Level;3/6/20 17:00;26.12
Level;3/6/20 18:00;26.19
Level;3/6/20 19:00;26.25
Level;3/6/20 20:00;26.28
Level;3/6/20 21:00;26.31
Level;3/6/20 22:00;26.34
Level;3/6/20 23:00;26.37
Level;4/6/20 0:00;26.4
Level;4/6/20 1:00;26.46
Level;4/6/20 2:00;26.49
Level;4/6/20 3:00;26.52
Level;4/6/20 4:00;26.58
Level;4/6/20 5:00;26.61
Level;4/6/20 6:00;26.64
Level;4/6/20 7:00;26.67
Level;4/6/20 8:00;26.7
Level;4/6/20 9:00;26.73
Level;4/6/20 10:00;26.76
Level;4/6/20 11:00;26.8
Level;4/6/20 12:00;26.83
Level;4/6/20 13:00;26.86
Level;4/6/20 14:00;26.89
Level;4/6/20 15:00;26.92
Level;4/6/20 16:00;26.95
Level;4/6/20 17:00;26.98
Level;4/6/20 18:00;27.01
Level;4/6/20 19:00;27.04
Level;4/6/20 20:00;27.1
Level;4/6/20 21:00;27.16
Level;4/6/20 22:00;27.19
Level;4/6/20 23:00;27.22
Level;5/6/20 0:00;27.25
Level;5/6/20 1:00;27.32
Level;5/6/20 2:00;27.35
Level;5/6/20 3:00;27.38
Level;5/6/20 4:00;27.41
Level;5/6/20 5:00;27.44
Level;5/6/20 6:00;27.47
Level;5/6/20 7:00;27.5
Level;5/6/20 8:00;27.53
Level;5/6/20 9:00;27.56
Level;5/6/20 10:00;27.59
Level;5/6/20 11:00;27.62
Level;5/6/20 12:00;27.68
Level;5/6/20 13:00;27.71
Level;5/6/20 14:00;27.74
Level;5/6/20 15:00;27.74
Level;5/6/20 16:00;27.78
Level;5/6/20 17:00;27.81
Level;5/6/20 18:00;27.84
Level;5/6/20 19:00;27.87
Level;5/6/20 20:00;27.9
Level;5/6/20 21:00;27.93
Level;5/6/20 22:00;27.96
Level;5/6/20 23:00;27.99
Level;6/6/20 0:00;28.02
Level;6/6/20 1:00;28.05
Level;6/6/20 2:00;28.08
Level;6/6/20 3:00;28.11
Level;6/6/20 4:00;28.11
Level;6/6/20 5:00;28.14
Level;6/6/20 6:00;28.21
Level;6/6/20 7:00;28.3
Level;6/6/20 8:00;28.42
Level;6/6/20 9:00;28.61
Level;6/6/20 10:00;28.76
Level;6/6/20 11:00;28.91
Level;6/6/20 12:00;29.07
Level;6/6/20 13:00;29.19
Level;6/6/20 14:00;29.32
Level;6/6/20 15:00;29.47
Level;6/6/20 16:00;29.59
Level;6/6/20 17:00;29.72
Level;6/6/20 18:00;29.84
Level;6/6/20 19:00;29.97
Level;6/6/20 20:00;30.09
Level;6/6/20 21:00;30.22
Level;6/6/20 22:00;30.34
Level;6/6/20 23:00;30.46
Level;7/6/20 0:00;30.59
Level;7/6/20 1:00;30.71
Level;7/6/20 2:00;30.84
Level;7/6/20 3:00;30.96
Level;7/6/20 4:00;31.09
Level;7/6/20 5:00;31.21
Level;7/6/20 6:00;31.31
Level;7/6/20 7:00;31.4
Level;7/6/20 8:00;31.49
Level;7/6/20 9:00;31.62
Level;7/6/20 10:00;31.81
Level;7/6/20 11:00;31.99
Level;7/6/20 12:00;32.31
Level;7/6/20 13:00;32.65
Level;7/6/20 14:00;33.06
Level;7/6/20 15:00;33.47
Level;7/6/20 16:00;33.85
Level;7/6/20 17:00;34.23
Level;7/6/20 18:00;34.71
Level;7/6/20 19:00;35.22
Level;7/6/20 20:00;35.63
Level;7/6/20 21:00;36.18
Level;7/6/20 22:00;36.66
Level;7/6/20 23:00;37.14
Level;8/6/20 0:00;37.69
Level;8/6/20 1:00;38.24
Level;8/6/20 2:00;38.82
Level;8/6/20 3:00;39.4
Level;8/6/20 4:00;40.05
Level;8/6/20 5:00;40.8
Level;8/6/20 6:00;41.56
Level;8/6/20 7:00;42.41
Level;8/6/20 8:00;43.14
Level;8/6/20 9:00;43.93
Level;8/6/20 10:00;44.87
Level;8/6/20 11:00;45.63
Level;8/6/20 12:00;46.27
Level;8/6/20 13:00;46.97
Level;8/6/20 14:00;47.65
Level;8/6/20 15:00;48.36
Level;8/6/20 16:00;49.0
Level;8/6/20 17:00;49.58
Level;8/6/20 18:00;50.16
Level;8/6/20 19:00;50.74
Level;8/6/20 20:00;51.32
Level;8/6/20 21:00;51.9
Level;8/6/20 22:00;52.49
Level;8/6/20 23:00;53.01
Level;9/6/20 0:00;53.53
Level;9/6/20 1:00;53.98
Level;9/6/20 2:00;54.46
Level;9/6/20 3:00;54.91
Level;9/6/20 4:00;55.3
Level;9/6/20 5:00;55.72
Level;9/6/20 6:00;56.03
Level;9/6/20 7:00;56.45
Level;9/6/20 8:00;56.77
Level;9/6/20 9:00;57.12
Level;9/6/20 10:00;57.36
Level;9/6/20 11:00;57.64
Level;9/6/20 12:00;57.89
Level;9/6/20 13:00;58.17
Level;9/6/20 14:00;58.42
Level;9/6/20 15:00;58.6
Level;9/6/20 16:00;58.81
Level;9/6/20 17:00;59.05
Level;9/6/20 18:00;59.23
Level;9/6/20 19:00;59.44
Level;9/6/20 20:00;59.59
Level;9/6/20 21:00;59.8
Level;9/6/20 22:00;59.98
Level;9/6/20 23:00;60.15
Level;10/6/20 0:00;60.3
Level;10/6/20 1:00;60.51
Level;10/6/20 2:00;60.72
Level;10/6/20 3:00;60.9
Level;10/6/20 4:00;61.08
Level;10/6/20 5:00;61.22
Level;10/6/20 6:00;61.37
Level;10/6/20 7:00;61.51
Level;10/6/20 8:00;61.62
Level;10/6/20 9:00;61.69
Level;10/6/20 10:00;61.8
Level;10/6/20 11:00;61.9
Level;10/6/20 12:00;62.01
Level;10/6/20 13:00;62.08
Level;10/6/20 14:00;62.15
Level;10/6/20 15:00;62.22
Level;10/6/20 16:00;62.33
Level;10/6/20 17:00;62.44
Level;10/6/20 18:00;62.55
Level;10/6/20 19:00;62.66
Level;10/6/20 20:00;62.73
Level;10/6/20 21:00;62.8
Level;10/6/20 22:00;62.83
Level;10/6/20 23:00;62.87
Level;11/6/20 0:00;62.94
Level;11/6/20 1:00;63.09
