unique_id,ds,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,y,model_name
serie_1,2024-01-01 00:00:00,23.383364,23.37995,21.380207,21.829542,25.169523,25.734856,AutoDeepAR_model
serie_1,2024-01-01 01:00:00,24.276545,24.273289,22.365513,22.794184,25.980562,26.519894,AutoDeepAR_model
serie_1,2024-01-01 02:00:00,25.186777,25.183529,23.281809,23.70912,26.885384,27.423004,AutoDeepAR_model
serie_1,2024-01-01 03:00:00,26.258873,26.255531,24.29977,24.739223,28.005745,28.558645,AutoDeepAR_model
serie_1,2024-01-01 04:00:00,27.538992,27.535461,25.468363,25.932833,29.385313,29.969687,AutoDeepAR_model
serie_1,2024-01-01 05:00:00,28.997637,28.993767,26.72875,27.237692,31.020739,31.661066,AutoDeepAR_model
serie_1,2024-01-01 06:00:00,30.550303,30.54597,28.009216,28.579218,32.816116,33.533264,AutoDeepAR_model
serie_1,2024-01-01 07:00:00,32.053787,32.048946,29.213827,29.850868,34.5861,35.387596,AutoDeepAR_model
serie_1,2024-01-01 08:00:00,33.388325,33.38301,30.270916,30.970194,36.16803,37.047825,AutoDeepAR_model
serie_1,2024-01-01 09:00:00,34.507687,34.50201,31.17824,31.925081,37.476463,38.4161,AutoDeepAR_model
serie_1,2024-01-01 10:00:00,35.418446,35.412453,31.90295,32.69152,38.553116,39.54526,AutoDeepAR_model
serie_1,2024-01-01 11:00:00,36.18087,36.17453,32.46064,33.29514,39.498096,40.54802,AutoDeepAR_model
serie_1,2024-01-01 12:00:00,36.86615,36.859444,32.932907,33.815186,40.37331,41.483353,AutoDeepAR_model
serie_1,2024-01-01 13:00:00,37.518795,37.511703,33.361412,34.293964,41.225815,42.399117,AutoDeepAR_model
serie_1,2024-01-01 14:00:00,38.17427,38.16679,33.78644,34.77069,42.086773,43.32511,AutoDeepAR_model
serie_1,2024-01-01 15:00:00,38.86264,38.854763,34.24165,35.278202,42.98305,44.28719,AutoDeepAR_model
serie_1,2024-01-01 16:00:00,39.592705,39.58441,34.729507,35.82039,43.92908,45.30158,AutoDeepAR_model
serie_1,2024-01-01 17:00:00,40.384716,40.376,35.27095,36.418037,44.94452,46.387726,AutoDeepAR_model
serie_1,2024-01-01 18:00:00,41.24834,41.239174,35.872368,37.078274,46.041943,47.55915,AutoDeepAR_model
serie_1,2024-01-01 19:00:00,42.18679,42.177155,36.533108,37.801308,47.22802,48.823605,AutoDeepAR_model
