unique_id,ds,GRU,GRU-median,GRU-lo-90,GRU-lo-80,GRU-hi-80,y,model_name
serie_1,2024-01-01 00:00:00,23.538927,23.557493,21.546886,22.06624,24.94838,25.425907,AutoGRU_model
serie_1,2024-01-01 01:00:00,24.041317,24.05933,22.63689,22.891172,25.170158,25.45969,AutoGRU_model
serie_1,2024-01-01 02:00:00,24.240236,24.263584,22.953367,23.232456,25.191189,25.475832,AutoGRU_model
serie_1,2024-01-01 03:00:00,24.545261,24.563614,23.30819,23.564774,25.504713,25.729534,AutoGRU_model
serie_1,2024-01-01 04:00:00,24.95229,24.955261,23.770607,24.040268,25.834753,26.09429,AutoGRU_model
serie_1,2024-01-01 05:00:00,25.396105,25.375677,24.31522,24.51249,26.314949,26.58083,AutoGRU_model
serie_1,2024-01-01 06:00:00,26.087067,26.087378,24.838093,25.118063,27.070267,27.346096,AutoGRU_model
serie_1,2024-01-01 07:00:00,27.112734,27.089708,25.871576,26.106524,28.122349,28.433443,AutoGRU_model
serie_1,2024-01-01 08:00:00,28.72116,28.691849,27.351793,27.619358,29.906927,30.227795,AutoGRU_model
serie_1,2024-01-01 09:00:00,31.20131,31.19416,29.59281,29.932356,32.543274,32.941402,AutoGRU_model
serie_1,2024-01-01 10:00:00,34.50061,34.479607,32.715065,33.125492,35.937916,36.357006,AutoGRU_model
serie_1,2024-01-01 11:00:00,37.384712,37.353058,35.40962,35.863968,38.86031,39.349514,AutoGRU_model
serie_1,2024-01-01 12:00:00,39.33934,39.31089,37.1877,37.723312,40.909622,41.50453,AutoGRU_model
serie_1,2024-01-01 13:00:00,40.41281,40.421257,38.48884,38.845768,42.039,42.4217,AutoGRU_model
serie_1,2024-01-01 14:00:00,40.700436,40.642815,38.606167,39.040024,42.32129,42.91893,AutoGRU_model
serie_1,2024-01-01 15:00:00,40.788273,40.803837,38.764008,39.101654,42.381462,42.93307,AutoGRU_model
serie_1,2024-01-01 16:00:00,40.39879,40.400944,38.286476,38.737904,42.03635,42.525635,AutoGRU_model
serie_1,2024-01-01 17:00:00,39.956238,40.026436,37.507458,38.043385,41.729218,42.232117,AutoGRU_model
serie_1,2024-01-01 18:00:00,39.54321,39.49386,37.0967,37.640503,41.41392,41.96297,AutoGRU_model
serie_1,2024-01-01 19:00:00,39.088467,39.06662,36.841175,37.29931,40.82862,41.335697,AutoGRU_model
