unique_id,ds,TCN,TCN-median,TCN-lo-90,TCN-lo-80,TCN-hi-80,TCN-hi-90,TCN-mu-1,TCN-std-1,TCN-mu-2,TCN-std-2,TCN-mu-3,TCN-std-3,TCN-mu-4,TCN-std-4,TCN-mu-5,TCN-std-5,TCN-mu-6,TCN-std-6,TCN-mu-7,y,model_name
serie_1,2024-01-01 00:00:00,23.451149,23.538368,21.73248,22.104176,24.659266,24.889025,23.74811,0.64037484,22.57103,0.64123785,23.181112,0.64029545,23.790344,0.64034265,23.939507,0.640591,24.159859,0.6404773,22.691711,1.3652613,AutoTCN_model
serie_1,2024-01-01 01:00:00,6.5488386,6.361539,4.80151,5.1833234,8.613485,9.152595,6.3432484,0.6400042,8.881226,0.64035314,6.8753147,0.64000463,5.5965424,0.64002115,6.184557,0.64002055,6.4370375,0.6400045,5.3144646,0.6473207,AutoTCN_model
serie_1,2024-01-01 02:00:00,4.2757883,3.9108582,2.332476,2.6451442,6.9988556,7.4334254,3.9491787,0.64000124,7.2230854,0.64014095,4.7801514,0.64000136,3.0704746,0.64000696,3.7100258,0.640006,4.010748,0.6400013,2.8394413,0.6433161,AutoTCN_model
serie_1,2024-01-01 03:00:00,2.416475,1.8845285,0.24606828,0.56739473,5.853647,6.456942,1.8240986,0.6400006,6.1026707,0.64006346,3.1228046,0.64000064,0.96819496,0.6400028,1.6354599,0.6400022,1.8348255,0.64000064,0.8413639,0.64171124,AutoTCN_model
serie_1,2024-01-01 04:00:00,0.6581311,-0.030099303,-1.5608107,-1.2564183,4.615399,5.221268,-0.037504196,0.6400004,4.853363,0.64002675,1.5462341,0.64000046,-0.9195328,0.6400012,-0.17688179,0.64000094,-0.07212639,0.6400004,-0.9425373,0.6408746,AutoTCN_model
serie_1,2024-01-01 05:00:00,0.055868614,-0.6079797,-2.0652108,-1.7367989,4.1233625,4.5840945,-0.65202904,0.64000034,4.349716,0.64000547,0.48083115,0.64000034,-1.6647148,0.64000046,-0.8231087,0.64000046,-0.9112015,0.64000034,-1.0571976,0.64040285,AutoTCN_model
serie_1,2024-01-01 06:00:00,-0.5521359,-1.1694863,-2.6888785,-2.358973,3.54882,4.196767,-1.2795391,0.64000034,3.895689,0.64000267,-0.19446373,0.64000034,-2.2290344,0.6400004,-1.4276257,0.6400004,-1.4456749,0.64000034,-1.601572,0.64028996,AutoTCN_model
serie_1,2024-01-01 07:00:00,0.56537956,0.04157152,-1.376618,-1.001309,4.3357306,4.9205337,-0.21722603,0.64000034,4.7163105,0.64000136,0.644083,0.64000034,-0.7858658,0.64000034,-0.27061462,0.64000034,-0.15676689,0.64000034,-0.16133308,0.6403004,AutoTCN_model
serie_1,2024-01-01 08:00:00,0.0969839,-0.49539542,-1.8551507,-1.6086514,4.084181,4.591655,-0.86221313,0.64000034,4.326872,0.64000064,0.0122413635,0.64000034,-1.4095612,0.64000034,-1.0050297,0.64000034,-0.8462372,0.64000034,-0.3041954,0.6401567,AutoTCN_model
serie_1,2024-01-01 09:00:00,1.7474222,1.2015524,-0.057671253,0.20169455,5.250166,5.8213215,0.6608143,0.64000034,5.5658245,0.64000046,1.2497444,0.64000034,0.6965656,0.64000034,0.67466354,0.64000034,1.1884823,0.64000034,1.8960629,0.6401417,AutoTCN_model
serie_1,2024-01-01 10:00:00,3.219234,2.7918456,1.3856585,1.7419754,6.3159585,7.0617514,2.1845837,0.64000034,6.894455,0.6400004,2.688631,0.64000034,2.5036163,0.64000034,2.149557,0.64000034,3.0060577,0.64000034,3.7531528,0.64017075,AutoTCN_model
serie_1,2024-01-01 11:00:00,3.5955875,3.142522,1.747145,2.0004387,6.7169375,7.240229,2.4176826,0.64000034,7.15236,0.64000034,2.9196434,0.64000034,2.8427658,0.64000034,2.4520283,0.64000034,3.321024,0.64000034,4.2214127,0.64015687,AutoTCN_model
serie_1,2024-01-01 12:00:00,2.6564405,2.171199,0.69749177,0.95664984,5.906775,6.573589,1.3116016,0.64000034,6.2446814,0.64000034,1.9106579,0.64000034,1.7468262,0.64000034,1.5020905,0.64000034,2.2921658,0.64000034,3.1917,0.64010924,AutoTCN_model
serie_1,2024-01-01 13:00:00,2.4992852,2.0314822,0.67194486,0.979094,5.409135,6.078683,1.2563572,0.64000034,5.795354,0.64000034,1.7647991,0.64000034,1.841814,0.64000034,1.5205708,0.64000034,2.2713394,0.64000034,3.2368279,0.64008135,AutoTCN_model
serie_1,2024-01-01 14:00:00,2.6763623,2.2058368,0.8424708,1.0872669,5.5251517,6.0676756,1.3967266,0.64000034,5.8213835,0.64000034,1.8884773,0.64000034,2.0421753,0.64000034,1.683073,0.64000034,2.409975,0.64000034,3.4622173,0.6400751,AutoTCN_model
serie_1,2024-01-01 15:00:00,2.8397853,2.4273357,0.91379404,1.2191172,5.5606217,6.0451703,1.6736584,0.64000034,5.7448225,0.64000034,1.9787903,0.64000034,2.1665459,0.64000034,1.7933941,0.64000034,2.5616322,0.64000034,3.6719532,0.64006853,AutoTCN_model
serie_1,2024-01-01 16:00:00,4.102669,3.791307,2.3257189,2.5967321,6.2740726,6.7804627,3.1581078,0.64000034,6.45183,0.64000034,3.0713863,0.64000034,3.510435,0.64000034,2.9441643,0.64000034,3.971962,0.64000034,5.1551285,0.6400645,AutoTCN_model
serie_1,2024-01-01 17:00:00,1.3344901,1.1556864,-0.20244652,0.034970928,2.9244523,3.3544712,1.0412312,0.64000034,3.0638485,0.64000034,0.5551224,0.64000034,1.0688629,0.64000034,0.4496441,0.64000034,1.582428,0.64000034,2.1674232,0.64002424,AutoTCN_model
serie_1,2024-01-01 18:00:00,0.7914446,0.6881422,-0.6513551,-0.40998733,2.0960684,2.5152848,0.46807098,0.64000034,2.1646748,0.64000034,-0.07747269,0.64000034,0.51151276,0.64000034,-0.09753227,0.64000034,1.0684261,0.64000034,1.4369125,0.6400188,AutoTCN_model
serie_1,2024-01-01 19:00:00,0.74405336,0.7355144,-0.7328387,-0.4032033,1.9667218,2.2767498,0.49952698,0.64000034,1.85466,0.64000034,-0.11315727,0.64000034,0.5895691,0.64000034,-0.074394226,0.64000034,1.1535282,0.64000034,1.3653774,0.640016,AutoTCN_model
