unique_id,ds,BiTCN,BiTCN-median,BiTCN-lo-90,BiTCN-lo-80,BiTCN-hi-80,BiTCN-hi-90,BiTCN-mu-1,BiTCN-std-1,BiTCN-mu-2,BiTCN-std-2,BiTCN-mu-3,BiTCN-std-3,BiTCN-mu-4,BiTCN-std-4,BiTCN-mu-5,BiTCN-std-5,BiTCN-mu-6,BiTCN-std-6,BiTCN-mu-7,y,model_name
serie_1,2024-01-01 00:00:00,23.977448,23.978842,19.507944,20.800081,27.223572,28.285236,24.729204,3.1650617,23.787579,2.2456594,23.894033,2.8063416,24.256924,2.224148,24.342058,1.9480834,22.167015,2.8495042,24.468306,2.258294,AutoBiTCN_model
serie_1,2024-01-01 01:00:00,14.486771,14.298214,7.496276,9.924434,20.16045,22.461403,13.591143,5.9140735,13.826291,1.6207162,14.706269,1.5595984,15.6015835,5.3601413,15.706508,5.6259203,14.865711,4.7040887,12.884454,2.415404,AutoBiTCN_model
serie_1,2024-01-01 02:00:00,8.745682,8.646124,0.43906084,3.3480418,15.522652,18.184612,7.448348,6.8314767,8.322147,1.7326796,9.246446,1.6709636,9.558377,6.4851317,10.417061,6.9923806,9.303568,5.6206326,6.6935816,2.6143587,AutoBiTCN_model
serie_1,2024-01-01 03:00:00,3.9676592,4.1797686,-4.849337,-2.0285993,10.211359,12.958192,2.8844776,6.5255914,4.3607483,1.843156,5.2040005,1.8068842,3.4691963,6.5141587,5.933893,6.6164274,3.4904842,6.214946,2.2742615,2.6553419,AutoBiTCN_model
serie_1,2024-01-01 04:00:00,2.8129673,3.1006017,-6.2151327,-3.6403,8.988804,11.316012,2.2413769,6.565232,3.5181541,2.0527797,4.394743,2.0266106,1.7046738,6.5405602,4.7163534,6.170373,1.4979343,6.615535,1.4926491,2.9168801,AutoBiTCN_model
serie_1,2024-01-01 05:00:00,1.9993205,2.1533308,-8.112817,-4.823361,8.957877,11.844671,1.4694653,7.375645,2.3596725,2.281852,3.3109436,2.2483068,1.4719887,7.472484,3.8763962,6.9808664,1.1666374,7.2819157,0.14745903,3.2646515,AutoBiTCN_model
serie_1,2024-01-01 06:00:00,2.894665,2.9796057,-7.3084764,-4.088407,10.212722,13.145194,2.944767,7.745804,2.9451294,2.5641065,3.8722591,2.5356362,2.5910892,7.576276,4.775586,6.9994507,1.6983299,7.5605907,1.2371864,3.6896164,AutoBiTCN_model
serie_1,2024-01-01 07:00:00,4.2971992,4.234576,-6.5244894,-2.9373167,12.44732,15.664779,4.422653,8.520961,3.547884,2.9466753,4.601078,2.9357698,4.8804855,8.087867,6.25014,7.5286875,3.4042807,8.00453,2.6877432,4.195158,AutoBiTCN_model
serie_1,2024-01-01 08:00:00,6.6074796,6.381166,-3.8850899,-0.98358953,15.062429,18.204845,7.238247,8.817309,5.309165,3.4754677,6.3393574,3.5789838,7.448488,8.026165,8.642014,7.4358406,5.5946255,8.175527,5.33288,4.773636,AutoBiTCN_model
serie_1,2024-01-01 09:00:00,9.068139,8.718975,-2.1379104,1.0045912,18.102901,21.078503,10.28507,9.044471,7.104575,4.2036524,8.27983,4.5250306,10.22936,7.9135756,10.977331,7.205609,7.971636,8.145838,8.205494,5.3906136,AutoBiTCN_model
serie_1,2024-01-01 10:00:00,9.952402,9.569361,-1.648508,1.4626986,19.520899,22.18446,11.33726,9.281396,7.5374784,4.6710176,8.8901415,5.126233,11.274254,7.9818983,11.895666,7.2576184,8.856939,8.174478,9.401274,5.7635093,AutoBiTCN_model
serie_1,2024-01-01 11:00:00,11.9564295,11.545439,-0.20307472,3.0179858,21.626354,24.355547,13.9042635,9.309877,8.90106,5.4338493,10.643509,6.2963257,13.269753,7.6183476,13.820305,6.8650727,10.491264,8.015679,12.170127,6.308278,AutoBiTCN_model
serie_1,2024-01-01 12:00:00,12.655767,12.291695,-0.5478403,3.152343,23.173582,25.994465,14.192667,9.942971,8.761999,6.1233916,10.836587,7.210873,14.798757,8.06264,14.500263,7.367178,11.826696,8.244301,13.030554,6.712695,AutoBiTCN_model
serie_1,2024-01-01 13:00:00,13.611719,13.271828,-0.50232273,3.5496361,24.69249,27.642988,14.985528,10.306966,9.034086,6.890813,11.379449,8.296868,16.354467,8.171276,15.205953,7.463603,13.154282,8.235673,14.385582,7.1173897,AutoBiTCN_model
serie_1,2024-01-01 14:00:00,13.573518,13.30629,-0.64360434,3.3870142,24.741062,27.960716,14.75806,10.364563,8.843542,7.2188444,11.195248,8.751474,16.615187,8.174688,15.033295,7.4900246,13.174253,8.232766,14.544742,7.215345,AutoBiTCN_model
serie_1,2024-01-01 15:00:00,12.76902,12.544716,-0.69899523,3.1153963,23.41527,26.357235,13.946292,9.918623,8.314544,6.8864417,10.589029,8.34465,15.466072,7.710981,14.323389,7.0938797,11.826316,7.966422,14.145019,6.9822736,AutoBiTCN_model
serie_1,2024-01-01 16:00:00,11.68559,11.354536,-1.5264419,2.1831079,22.110283,25.023876,12.585052,9.780724,7.2112923,6.566514,9.653783,7.91696,14.440362,7.5726333,13.23578,6.984164,10.790675,7.7719936,13.146485,6.7584105,AutoBiTCN_model
serie_1,2024-01-01 17:00:00,10.458046,10.176254,-2.3055904,1.3063608,20.47659,23.274061,11.161308,9.434753,6.1955013,6.141456,8.620376,7.3710485,13.03985,7.3415103,12.053795,6.8200445,9.466032,7.62695,11.996607,6.436285,AutoBiTCN_model
serie_1,2024-01-01 18:00:00,9.341442,9.115357,-3.7138991,0.12601127,19.709162,22.340277,9.483207,9.583606,4.897481,5.996007,7.3979826,7.1142397,12.341023,7.6952486,10.941737,7.3224325,9.318878,7.608067,10.286871,6.186057,AutoBiTCN_model
serie_1,2024-01-01 19:00:00,7.34117,7.029893,-4.8069906,-1.2421857,17.054102,19.57713,7.1622677,9.125904,3.4560204,5.1732926,5.612469,5.990774,10.2276,7.5453773,8.891302,7.3082457,7.5743976,7.3745627,7.8117824,5.462041,AutoBiTCN_model
