unique_id,ds,GRU,GRU-median,GRU-lo-90,GRU-lo-80,GRU-hi-80,y,model_name
serie_1,2024-01-01 00:00:00,23.505054,23.521378,21.75321,22.20994,24.744553,25.164497,AutoGRU_model
serie_1,2024-01-01 01:00:00,23.777712,23.794495,22.469322,22.706215,24.829361,25.099092,AutoGRU_model
serie_1,2024-01-01 02:00:00,23.774939,23.797417,22.535948,22.804655,24.69051,24.964563,AutoGRU_model
serie_1,2024-01-01 03:00:00,24.034943,24.052853,22.827759,23.078144,24.971216,25.190605,AutoGRU_model
serie_1,2024-01-01 04:00:00,24.442398,24.445295,23.289358,23.552483,25.30347,25.556715,AutoGRU_model
serie_1,2024-01-01 05:00:00,24.898289,24.878475,23.849771,24.041136,25.789621,26.047539,AutoGRU_model
serie_1,2024-01-01 06:00:00,25.625608,25.625906,24.426975,24.695663,26.569178,26.833889,AutoGRU_model
serie_1,2024-01-01 07:00:00,26.686836,26.66515,25.51782,25.73911,27.637772,27.93078,AutoGRU_model
serie_1,2024-01-01 08:00:00,28.234955,28.208124,26.981417,27.226349,29.32042,29.614147,AutoGRU_model
serie_1,2024-01-01 09:00:00,30.577797,30.571228,29.099878,29.41186,31.81082,32.17663,AutoGRU_model
serie_1,2024-01-01 10:00:00,33.789345,33.769745,32.12325,32.506218,35.13048,35.521538,AutoGRU_model
serie_1,2024-01-01 11:00:00,36.62362,36.594658,34.816708,35.23237,37.973557,38.421104,AutoGRU_model
serie_1,2024-01-01 12:00:00,38.523487,38.497692,36.57235,37.058052,39.947445,40.48692,AutoGRU_model
serie_1,2024-01-01 13:00:00,39.5146,39.522236,37.774673,38.097458,40.985226,41.331318,AutoGRU_model
serie_1,2024-01-01 14:00:00,39.68455,39.63251,37.793102,38.18494,41.148438,41.688198,AutoGRU_model
serie_1,2024-01-01 15:00:00,39.602303,39.616394,37.76933,38.07507,41.044933,41.544415,AutoGRU_model
serie_1,2024-01-01 16:00:00,39.04702,39.04898,37.128117,37.538208,40.53464,40.979126,AutoGRU_model
serie_1,2024-01-01 17:00:00,38.416203,38.480137,36.185894,36.674,40.031006,40.489037,AutoGRU_model
serie_1,2024-01-01 18:00:00,37.792625,37.74758,35.55984,36.05614,39.499912,40.00099,AutoGRU_model
serie_1,2024-01-01 19:00:00,37.12664,37.106766,35.082577,35.499275,38.70942,39.17064,AutoGRU_model
