unique_id,ds,TCN,TCN-median,TCN-lo-90,TCN-lo-80,TCN-hi-80,TCN-hi-90,TCN-mu-1,TCN-std-1,TCN-mu-2,TCN-std-2,TCN-mu-3,TCN-std-3,TCN-mu-4,TCN-std-4,TCN-mu-5,TCN-std-5,TCN-mu-6,TCN-std-6,TCN-mu-7,y,model_name
serie_1,2024-01-01 00:00:00,23.609312,23.676517,21.941147,22.311382,24.76887,25.023937,23.985302,0.6402263,22.794725,0.6404124,23.510994,0.6401479,23.78928,0.64018524,24.071728,0.6402784,24.357557,0.64027745,22.669298,1.0748419,AutoTCN_model
serie_1,2024-01-01 01:00:00,6.4521565,6.246164,4.891742,5.1811323,8.323928,8.862823,6.088251,0.64000267,8.591561,0.64009684,6.679982,0.64000297,5.3490276,0.64001167,6.0488987,0.6400113,6.4574766,0.6400022,5.712781,0.6411248,AutoTCN_model
serie_1,2024-01-01 02:00:00,4.530628,4.270092,2.8549764,3.1696982,6.710947,7.1454487,4.0655956,0.640001,6.9351416,0.6400402,4.8961773,0.6400011,3.2454433,0.64000446,4.095745,0.6400041,4.4664326,0.6400008,3.6974258,0.64049536,AutoTCN_model
serie_1,2024-01-01 03:00:00,3.1677682,2.9205675,1.3088065,1.6069542,5.5335174,6.136771,2.578909,0.6400006,5.782524,0.6400196,3.6006165,0.64000064,1.7625122,0.64000213,2.6738377,0.6400019,3.0680332,0.6400005,2.2624817,0.64026374,AutoTCN_model
serie_1,2024-01-01 04:00:00,-0.10497232,-0.59328294,-2.158215,-1.8231046,2.8524399,3.45829,-0.9872246,0.6400004,3.090397,0.64000624,0.74427605,0.6400004,-1.639782,0.6400009,-0.63145256,0.6400007,-0.3733425,0.6400004,-1.2474098,0.64007306,AutoTCN_model
serie_1,2024-01-01 05:00:00,-0.4351619,-0.8718166,-2.4295702,-2.0520928,2.7696786,3.230408,-1.3376179,0.64000034,2.9960308,0.6400014,0.06322479,0.64000034,-2.0444508,0.6400004,-1.1346779,0.6400004,-1.0410633,0.64000034,-1.1429634,0.6400261,AutoTCN_model
serie_1,2024-01-01 06:00:00,-1.1478447,-1.5946023,-3.2093306,-2.8124402,2.1272874,2.775232,-2.051859,0.64000034,2.4741554,0.6400009,-0.64725876,0.64000034,-2.7702026,0.64000034,-1.9295673,0.64000034,-1.6934986,0.64000034,-1.8162365,0.64001685,AutoTCN_model
serie_1,2024-01-01 07:00:00,-0.26841578,-0.6467451,-2.169674,-1.8213009,2.6950603,3.2798626,-1.1079578,0.64000034,3.0756397,0.6400006,0.038181305,0.64000034,-1.6671333,0.64000034,-1.1763763,0.64000034,-0.52113533,0.64000034,-0.7456608,0.64001876,AutoTCN_model
serie_1,2024-01-01 08:00:00,-0.43089086,-0.824262,-2.1821008,-1.9920104,2.4487038,2.9561777,-1.5224915,0.64000034,2.6913948,0.6400004,-0.3347149,0.64000034,-1.6302586,0.64000034,-1.3735123,0.64000034,-0.8288784,0.64000034,-0.6263294,0.640008,AutoTCN_model
serie_1,2024-01-01 09:00:00,1.1488248,0.8354008,-0.60337657,-0.34420386,3.6959207,4.2670765,-0.15171051,0.64000034,4.0115795,0.64000034,1.1887722,0.64000034,0.41197777,0.64000034,0.1289177,0.64000034,0.9015732,0.64000034,1.3148994,0.6400069,AutoTCN_model
