ds,ground_truth,model_name
2023-12-31 04:00:00,19.7,AutoTFT_model
2023-12-31 05:00:00,19.0,AutoTFT_model
2023-12-31 06:00:00,18.4,AutoTFT_model
2023-12-31 07:00:00,18.4,AutoTFT_model
2023-12-31 08:00:00,17.8,AutoTFT_model
2023-12-31 09:00:00,16.9,AutoTFT_model
2023-12-31 10:00:00,19.8,AutoTFT_model
2023-12-31 11:00:00,22.8,AutoTFT_model
2023-12-31 12:00:00,24.5,AutoTFT_model
2023-12-31 13:00:00,26.0,AutoTFT_model
2023-12-31 14:00:00,27.7,AutoTFT_model
2023-12-31 15:00:00,27.8,AutoTFT_model
2023-12-31 16:00:00,27.9,AutoTFT_model
2023-12-31 17:00:00,28.7,AutoTFT_model
2023-12-31 18:00:00,29.3,AutoTFT_model
2023-12-31 19:00:00,29.3,AutoTFT_model
2023-12-31 20:00:00,29.5,AutoTFT_model
2023-12-31 21:00:00,29.6,AutoTFT_model
2023-12-31 22:00:00,27.6,AutoTFT_model
2023-12-31 23:00:00,24.8,AutoTFT_model
